"Name","State","Notes","User","Tags","Created","Runtime","Sweep","graph_type","model","src","target","-early-stopping-epoch","-training-loss","-validation-loss","source-accuracy","target-accuracy"
"triangle-poisson-unclustered-unclustered-9","finished","-","niklasdewally","","2023-05-23T12:22:00.000Z","21","","poisson","triangle","unclustered","unclustered","21","-0.4406360387802124","0.1449071168899536","0.6276150627615062","0.6210045662100456"
"triangle-poisson-unclustered-unclustered-8","finished","-","niklasdewally","","2023-05-23T12:21:39.000Z","19","","poisson","triangle","unclustered","unclustered","12","-0.22238972783088684","-0.04460771381855011","0.5732217573221757","0.5525114155251142"
"triangle-poisson-unclustered-unclustered-7","finished","-","niklasdewally","","2023-05-23T12:21:12.000Z","25","","poisson","triangle","unclustered","unclustered","24","-0.34135615825653076","-0.074587881565094","0.6903765690376569","0.4931506849315068"
"triangle-poisson-unclustered-unclustered-6","finished","-","niklasdewally","","2023-05-23T12:20:50.000Z","20","","poisson","triangle","unclustered","unclustered","16","-0.3913730382919311","-0.16245536506175995","0.6610878661087866","0.634703196347032"
"triangle-poisson-unclustered-unclustered-5","finished","-","niklasdewally","","2023-05-23T12:20:30.000Z","17","","poisson","triangle","unclustered","unclustered","12","-0.35080263018608093","-0.19504424929618835","0.6485355648535565","0.5981735159817352"
"triangle-poisson-unclustered-unclustered-4","finished","-","niklasdewally","","2023-05-23T12:20:10.000Z","18","","poisson","triangle","unclustered","unclustered","15","-0.3417522609233856","0.08796173334121704","0.7196652719665272","0.6484018264840182"
"triangle-poisson-unclustered-unclustered-3","finished","-","niklasdewally","","2023-05-23T12:19:39.000Z","29","","poisson","triangle","unclustered","unclustered","32","-0.5229533910751343","0.2449098229408264","0.6150627615062761","0.5570776255707762"
"triangle-poisson-unclustered-unclustered-2","finished","-","niklasdewally","","2023-05-23T12:19:19.000Z","18","","poisson","triangle","unclustered","unclustered","12","-0.27906984090805054","0.07850827276706696","0.6150627615062761","0.5251141552511416"
"triangle-poisson-unclustered-unclustered-1","finished","-","niklasdewally","","2023-05-23T12:18:58.000Z","19","","poisson","triangle","unclustered","unclustered","19","-0.40177279710769653","0.05372720956802368","0.606694560669456","0.6255707762557078"
"triangle-poisson-unclustered-unclustered-0","finished","-","niklasdewally","","2023-05-23T12:18:40.000Z","15","","poisson","triangle","unclustered","unclustered","11","-0.28571128845214844","0.2274935245513916","0.6192468619246861","0.5114155251141552"
"triangle-poisson-unclustered-clustered-9","finished","-","niklasdewally","","2023-05-23T12:18:24.000Z","14","","poisson","triangle","unclustered","clustered","8","-0.17821012437343595","0.07958456873893738","0.694560669456067","0.6575342465753424"
"triangle-poisson-unclustered-clustered-8","finished","-","niklasdewally","","2023-05-23T12:18:05.000Z","17","","poisson","triangle","unclustered","clustered","13","-0.26893001794815063","0.4224119186401367","0.6694560669456067","0.5570776255707762"
"triangle-poisson-unclustered-clustered-7","finished","-","niklasdewally","","2023-05-23T12:17:37.000Z","25","","poisson","triangle","unclustered","clustered","31","-0.44429752230644226","0.0018070191144943235","0.7112970711297071","0.6484018264840182"
"triangle-poisson-unclustered-clustered-6","finished","-","niklasdewally","","2023-05-23T12:17:17.000Z","17","","poisson","triangle","unclustered","clustered","16","-0.20371675491333008","-0.15635979175567627","0.6359832635983264","0.6027397260273972"
"triangle-poisson-unclustered-clustered-5","finished","-","niklasdewally","","2023-05-23T12:16:58.000Z","17","","poisson","triangle","unclustered","clustered","13","-0.11612290143966676","0.19112855195999143","0.6401673640167364","0.6210045662100456"
"triangle-poisson-unclustered-clustered-4","finished","-","niklasdewally","","2023-05-23T12:16:43.000Z","13","","poisson","triangle","unclustered","clustered","0","-0.10489914566278458","0.0628216564655304","0.6150627615062761","0.5342465753424658"
"triangle-poisson-unclustered-clustered-3","finished","-","niklasdewally","","2023-05-23T12:16:22.000Z","19","","poisson","triangle","unclustered","clustered","17","-0.512131929397583","0.643406867980957","0.6359832635983264","0.6255707762557078"
"triangle-poisson-unclustered-clustered-2","finished","-","niklasdewally","","2023-05-23T12:16:01.000Z","19","","poisson","triangle","unclustered","clustered","12","-0.334076464176178","0.0690685510635376","0.6610878661087866","0.6575342465753424"
"triangle-poisson-unclustered-clustered-1","finished","-","niklasdewally","","2023-05-23T12:15:46.000Z","13","","poisson","triangle","unclustered","clustered","0","-0.08591249585151672","0.13063304126262665","0.6820083682008368","0.6484018264840182"
"triangle-poisson-unclustered-clustered-0","finished","-","niklasdewally","","2023-05-23T12:15:27.000Z","17","","poisson","triangle","unclustered","clustered","14","-0.3002229928970337","0.35484087467193604","0.5774058577405857","0.4703196347031963"
"triangle-poisson-clustered-unclustered-9","finished","-","niklasdewally","","2023-05-23T12:15:07.000Z","18","","poisson","triangle","clustered","unclustered","11","0.0038825026713311672","91.70294189453124","0.6227347611202636","0.6085879438480595"
"triangle-poisson-clustered-unclustered-8","finished","-","niklasdewally","","2023-05-23T12:14:26.000Z","39","","poisson","triangle","clustered","unclustered","48","-0.0014778664335608482","9.997315406799316","0.38493207081103337","0.396694214876033"
"triangle-poisson-clustered-unclustered-7","finished","-","niklasdewally","","2023-05-23T12:14:06.000Z","18","","poisson","triangle","clustered","unclustered","8","0.011758892796933653","1076.5816650390625","0.6185778873818332","0.5937241948802643"
"triangle-poisson-clustered-unclustered-6","finished","-","niklasdewally","","2023-05-23T12:13:34.000Z","30","","poisson","triangle","clustered","unclustered","31","0.003613945096731186","58.45427703857422","0.6199671322925226","0.6083367725959554"
"triangle-poisson-clustered-unclustered-5","finished","-","niklasdewally","","2023-05-23T12:13:20.000Z","12","","poisson","triangle","clustered","unclustered","0","0.014837313443422318","1812.8203125","0.6305601317957167","0.6056977704376548"
