"Name","ID","State","Notes","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","encoder-batchsize","encoder-epochs","encoder-hidden-layers","encoder-lr","encoder-min-delta","encoder-patience","source-dataset","target-dataset","encoder-epoch","source-classifier-accuracy","target-classifier-accuracy","% Difference","training-loss","validation-loss","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-edges","target-nodes","target-transitivity","-early-stopping-epoch","-stopping-epoch","-training-loss","-validation-loss"
"triangle-k2-9","vbcfrvot","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-30T01:24:58.000Z","2023-05-30T01:37:27.000Z","2023-05-30T01:37:27.000Z","749","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.63","0.7938931297709924","26.01478250333212","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","11","","-8.86099910736084","10.001935958862305"
"triangle-k2-8","h55tsg4t","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-30T01:00:55.000Z","2023-05-30T01:24:56.000Z","2023-05-30T01:24:56.000Z","1441","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.52","0.7175572519083969","37.99177921315325","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","32","","-9.270624160766602","-1.077099323272705"
"triangle-k2-7","vopeabpv","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-30T00:47:44.000Z","2023-05-30T01:00:53.000Z","2023-05-30T01:00:53.000Z","789","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.47","0.6946564885496184","47.799252882897534","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","12","","-8.7731351852417","5.0445146560668945"
"triangle-k2-6","vsa0kt1d","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-30T00:33:24.000Z","2023-05-30T00:47:42.000Z","2023-05-30T00:47:42.000Z","858","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.5","0.6946564885496184","38.93129770992368","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","14","","-9.062981605529783","1.5247557163238523"
"triangle-k2-5","vxk84hht","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-30T00:24:01.000Z","2023-05-30T00:33:22.000Z","2023-05-30T00:33:22.000Z","561","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.58","0.7557251908396947","30.29744669649909","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","5","","-9.136089324951172","-0.42691460251808167"
"triangle-k2-4","r1tq1sk2","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-30T00:13:38.000Z","2023-05-30T00:23:59.000Z","2023-05-30T00:23:59.000Z","621","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.53","0.6259541984732825","18.104565749675935","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","7","","-8.921910285949707","7.118976593017578"
"triangle-k2-3","dlyl01iq","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-30T00:05:23.000Z","2023-05-30T00:13:36.000Z","2023-05-30T00:13:36.000Z","493","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.57","0.7480916030534351","31.24414088656758","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","3","","-8.276232719421387","4.44019889831543"
"triangle-k2-2","wczpia53","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T23:41:47.000Z","2023-05-30T00:05:20.000Z","2023-05-30T00:05:20.000Z","1413","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.44","0.648854961832061","47.46703678001387","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","31","","-8.604560852050781","11.169052124023438"
"triangle-k2-1","gifisx98","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T23:30:14.000Z","2023-05-29T23:41:45.000Z","2023-05-29T23:41:45.000Z","691","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.55","0.6870229007633588","24.913254684247047","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","9","","-9.160476684570312","3.206709146499634"
"triangle-k2-0","xssilxdg","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T23:13:09.000Z","2023-05-29T23:30:12.000Z","2023-05-29T23:30:12.000Z","1023","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.59","0.6564885496183206","11.269245698020445","","","2","triangle","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","9","","-9.531489372253418","-0.7827192544937134"
"egi-k3-9","29da7jug","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T23:09:24.000Z","2023-05-29T23:13:06.000Z","2023-05-29T23:13:06.000Z","222","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.58","0.6793893129770993","17.136088444327466","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","28","","-3.204826593399048","0.012936890125274658"
"egi-k3-8","e1hevin3","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T23:07:00.000Z","2023-05-29T23:09:21.000Z","2023-05-29T23:09:21.000Z","141","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.53","0.7480916030534351","41.14935906668587","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","13","","-1.4386909008026123","0.34654200077056885"
"egi-k3-7","s90rcx7c","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T23:05:26.000Z","2023-05-29T23:06:58.000Z","2023-05-29T23:06:58.000Z","92","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.55","0.6259541984732825","13.809854267869534","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","4","","-1.927274703979492","1.2925641536712646"
"egi-k3-6","h431hdci","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T23:01:25.000Z","2023-05-29T23:05:23.000Z","2023-05-29T23:05:23.000Z","238","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.52","0.6564885496183206","26.247798003523187","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","31","","-3.137947797775269","0.29466280341148376"
"egi-k3-5","za3nks8c","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:59:19.000Z","2023-05-29T23:01:23.000Z","2023-05-29T23:01:23.000Z","124","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.55","0.7938931297709924","44.34420541290769","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","10","","-1.2735228538513184","-0.13131345808506012"
"egi-k3-4","69wr604q","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:55:52.000Z","2023-05-29T22:59:17.000Z","2023-05-29T22:59:17.000Z","205","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.52","0.7099236641221374","36.52378156194949","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","25","","-2.2387471199035645","2.107619524002075"
"egi-k3-3","jud7it9y","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:54:02.000Z","2023-05-29T22:55:50.000Z","2023-05-29T22:55:50.000Z","108","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.41","0.732824427480916","78.73766523924782","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","7","","-1.8429123163223269","1.802234172821045"
"egi-k3-2","u2t4o1cn","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:50:40.000Z","2023-05-29T22:54:00.000Z","2023-05-29T22:54:00.000Z","200","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.47","0.6412213740458015","36.43007958421309","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","24","","-3.4109458923339844","0.8974392414093018"
"egi-k3-1","f205qw8n","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:46:53.000Z","2023-05-29T22:50:38.000Z","2023-05-29T22:50:38.000Z","225","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.57","0.6717557251908397","17.851881612428027","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","29","","-1.9675636291503904","1.0965800285339355"
"egi-k3-0","wee3mqgf","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:44:18.000Z","2023-05-29T22:46:51.000Z","2023-05-29T22:46:51.000Z","153","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.49","0.6641221374045801","35.53513008256738","","","3","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","15","","-1.9211889505386353","-0.12812653183937073"
