"Name","State","Notes","User","Tags","Created","Runtime","Sweep","global_config.LR","global_config.batch_size","global_config.epochs","global_config.hidden_layers","global_config.min_delta","global_config.n_runs","global_config.patience","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-dataset","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-dataset","target-edges","target-nodes","target-transitivity","% Difference","-early-stopping-epoch","-training-loss","-validation-loss","source-classifier-accuracy","target-classifier-accuracy"
"triangle-k4-19","finished","-","niklasdewally","","2023-06-06T17:22:56.000Z","651","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","38.53548204693242","29","-9.772857666015623","-0.7916250228881836","0.54","0.7480916030534351"
"triangle-k4-18","finished","-","niklasdewally","","2023-06-06T17:12:56.000Z","598","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","25.060906285528667","21","-9.810295104980469","2.8180456161499023","0.47","0.5877862595419847"
"triangle-k4-17","finished","-","niklasdewally","","2023-06-06T17:02:27.000Z","627","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","51.04758811109307","26","-9.689952850341797","-1.170219659805298","0.47","0.7099236641221374"
"triangle-k4-16","finished","-","niklasdewally","","2023-06-06T16:52:23.000Z","601","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","46.56488549618321","22","-9.827123641967772","-1.2061352729797363","0.5","0.732824427480916"
"triangle-k4-15","finished","-","niklasdewally","","2023-06-06T16:43:26.000Z","534","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","34.95092693565975","12","-9.75339126586914","-0.7300803065299988","0.56","0.7557251908396947"
"triangle-k4-14","finished","-","niklasdewally","","2023-06-06T16:31:09.000Z","735","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","7.347328244274812","43","-9.739873886108398","-1.2010153532028198","0.64","0.6870229007633588"
"triangle-k4-13","finished","-","niklasdewally","","2023-06-06T16:20:59.000Z","608","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","31.61358252171626","23","-9.70211410522461","-1.196746587753296","0.58","0.7633587786259542"
"triangle-k4-12","finished","-","niklasdewally","","2023-06-06T16:09:54.000Z","663","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","47.21919302071975","32","-9.75513744354248","-1.204357385635376","0.42","0.6183206106870229"
"triangle-k4-11","finished","-","niklasdewally","","2023-06-06T16:01:11.000Z","521","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","26.795186958209356","10","-8.731947898864746","0.7569120526313782","0.59","0.7480916030534351"
"triangle-k4-10","finished","-","niklasdewally","","2023-06-06T15:49:12.000Z","717","","0.01","50","100","32","0.01","20","10","4","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","49.55600560835021","40","-9.719953536987305","-1.1341522932052612","0.49","0.732824427480916"
