"Name","State","Notes","User","Tags","Created","Runtime","Sweep","global_config.LR","global_config.batch_size","global_config.epochs","global_config.hidden_layers","global_config.k.egi","global_config.k.triangle","global_config.min_delta","global_config.n_runs","global_config.patience","graph_type","model","src-size","src","target-size","target","-early-stopping-epoch","-training-loss","-validation-loss","source-accuracy","target-accuracy"
"egi-powerlaw-unclustered-1000-unclustered-1000-19","finished","-","niklasdewally","","2023-06-06T04:02:19.000Z","125","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","9","0.025841351598501205","0.000539436936378479","0.6958917835671342","0.6918837675350702"
"egi-powerlaw-unclustered-1000-unclustered-1000-18","finished","-","niklasdewally","","2023-06-06T03:54:14.000Z","483","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","73","-0.9790449142456056","-0.04594627022743225","0.7359719438877755","0.7224448897795591"
"egi-powerlaw-unclustered-1000-unclustered-1000-17","finished","-","niklasdewally","","2023-06-06T03:52:49.000Z","83","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","2","-0.6388506293296814","-0.036891140043735504","0.6803607214428857","0.6347695390781564"
"egi-powerlaw-unclustered-1000-unclustered-1000-16","finished","-","niklasdewally","","2023-06-06T03:49:53.000Z","173","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","18","-0.412114292383194","-0.012867152690887451","0.7179358717434869","0.7164328657314629"
"egi-powerlaw-unclustered-1000-unclustered-1000-15","finished","-","niklasdewally","","2023-06-06T03:48:00.000Z","110","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","7","0.06773702800273895","-0.018718764185905457","0.6397795591182365","0.6578156312625251"
"egi-powerlaw-unclustered-1000-unclustered-1000-14","finished","-","niklasdewally","","2023-06-06T03:44:28.000Z","209","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","24","0.2411325126886368","-0.030563965439796448","0.6843687374749499","0.685370741482966"
"egi-powerlaw-unclustered-1000-unclustered-1000-13","finished","-","niklasdewally","","2023-06-06T03:34:56.000Z","570","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","","-1.137505292892456","-0.08901263773441315","0.7054108216432866","0.7144288577154309"
"egi-powerlaw-unclustered-1000-unclustered-1000-12","finished","-","niklasdewally","","2023-06-06T03:32:46.000Z","128","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","10","0.017425155267119408","0.0001214081421494484","0.6833667334669339","0.6538076152304609"
"egi-powerlaw-unclustered-1000-unclustered-1000-11","finished","-","niklasdewally","","2023-06-06T03:30:05.000Z","159","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","15","-0.022579383105039597","-0.0009017629199661314","0.7434869739478958","0.7234468937875751"
"egi-powerlaw-unclustered-1000-unclustered-1000-10","finished","-","niklasdewally","","2023-06-06T03:27:43.000Z","140","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","12","0.18526798486709595","-0.01215176284313202","0.6503006012024048","0.6798597194388778"
"egi-powerlaw-unclustered-1000-unclustered-1000-9","finished","-","niklasdewally","","2023-06-06T03:24:19.000Z","202","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","23","0.6267531514167786","-0.03146839514374733","0.746993987975952","0.6843687374749499"
"egi-powerlaw-unclustered-1000-unclustered-1000-8","finished","-","niklasdewally","","2023-06-06T03:16:51.000Z","446","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","66","-0.9160248637199402","-0.02062167227268219","0.7149298597194389","0.7279559118236473"
"egi-powerlaw-unclustered-1000-unclustered-1000-7","finished","-","niklasdewally","","2023-06-06T03:12:53.000Z","236","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","29","-0.2612519860267639","-0.037289101630449295","0.685370741482966","0.6518036072144289"
"egi-powerlaw-unclustered-1000-unclustered-1000-6","finished","-","niklasdewally","","2023-06-06T03:05:07.000Z","463","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","69","-0.2725526690483093","-0.03972645848989487","0.7219438877755511","0.7349699398797596"
"egi-powerlaw-unclustered-1000-unclustered-1000-5","finished","-","niklasdewally","","2023-06-06T03:03:36.000Z","89","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","3","-0.008784281089901924","-0.0004632328636944294","0.7264529058116233","0.6728456913827655"
"egi-powerlaw-unclustered-1000-unclustered-1000-4","finished","-","niklasdewally","","2023-06-06T03:01:08.000Z","146","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","13","-0.5179685354232788","-0.023940235376358032","0.7154308617234469","0.5876753507014028"
"egi-powerlaw-unclustered-1000-unclustered-1000-3","finished","-","niklasdewally","","2023-06-06T02:56:48.000Z","258","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","33","-0.15002426505088806","-0.02050696313381195","0.6703406813627254","0.6968937875751503"
"egi-powerlaw-unclustered-1000-unclustered-1000-2","finished","-","niklasdewally","","2023-06-06T02:55:23.000Z","83","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","2","0.035880692303180695","-0.0009549809619784356","0.6798597194388778","0.6703406813627254"
"egi-powerlaw-unclustered-1000-unclustered-1000-1","finished","-","niklasdewally","","2023-06-06T02:51:40.000Z","220","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","26","-0.46901950240135193","-0.021349262446165085","0.6267535070140281","0.5541082164328658"
"egi-powerlaw-unclustered-1000-unclustered-1000-0","finished","-","niklasdewally","","2023-06-06T02:50:09.000Z","89","","0.01","50","100","32","3","4","0.01","20","10","powerlaw","egi","1000","unclustered","1000","unclustered","3","0.4188048839569092","-0.001904621720314026","0.7309619238476954","0.688877755511022"
